geoson	population	orig	val
Carencro	8306	224	1
Broussard	9382	225	1
Albany	100	226	8
Westwego	8534	227	1
Port Vincent	734	228	6
Killian	1277	229	4
Harahan	9311	230	1
French Settlement	100	231	8
Arnaudville	1059	232	5
Kenner	66975	233	0
Jean Lafitte	1923	234	4
Leonville	1089	235	5
Gretna	17802	236	1
Collinston	278	237	7
Livingston	1893	238	4
Walker	6180	239	2
Vidalia	4204	240	2
Ridgecrest	675	241	6
Montpelier	260	242	7
Ferriday	3453	243	3
Clayton	100	244	8
Woodworth	100	245	9
Pineville	14475	246	1
McNary	208	247	7
Lecompte	100	248	8
Glenmora	1335	249	4
Forest Hill	100	250	8
Cheneyville	615	251	6
Greensburg	701	252	6
Boyce	997	253	5
Ball	4012	254	2
Alexandria	48426	255	0
New Roads	4766	256	2
Morganza	599	257	6
Livonia	1425	258	4
Fordoche	917	259	5
Delhi	2949	260	3
Rayville	3757	261	3
Mangham	659	262	6
Welsh	3211	263	3
Jennings	10188	264	1
Fenton	375	265	7
Elton	1121	266	5
Marion	753	267	6
Youngsville	9944	268	1
Scott	8766	269	1
Franklinton	3791	270	3
Varnado	329	271	7
Lillie	116	272	8
Farmerville	3815	273	2
Bogalusa	12008	274	1
Angie	246	275	7
Bernice	1648	276	4
Spearsville	135	277	8
Houma	34040	278	0
Krotz Springs	1202	279	5
Port Allen	100	280	9
Brusly	2598	281	3
Addis	4178	282	2
Parks	671	283	6
St. Martinville	6100	284	2
Henderson	100	285	8
Grand Coteau	931	286	5
Breaux Bridge	8274	287	1
Sunset	2914	288	3
Washington	964	289	5
Port Barre	2075	290	4
Palmetto	163	291	8
Opelousas	16493	292	1
Melville	100	293	8
Cankton	485	294	6
Loreauville	893	295	5
Jeanerette	5548	296	2
New Iberia	30797	297	0
St. Francisville	1746	298	4
Tickfaw	723	299	6
Tangipahoa	785	300	6
Lakeview	100	301	8
Roseland	1165	302	5
Ponchatoula	6839	303	2
Kentwood	2277	304	3
Independence	1665	305	4
Hammond	20337	306	0
Amite City	4275	307	2
Hahnville	3454	308	3
Lutcher	3435	309	3
Gramercy	3495	310	3
Sorrel	100	311	9
Singer	644	312	6
Oretta	100	313	9
Sugartown	11	314	9
Glencoe	314	315	7
Longville	655	316	6
Bayou Blue	12375	317	1
Lockport Heights	935	318	5
Mathews	2380	319	3
Larose	7108	320	2
Galliano	7743	321	1
Prairieville	26659	322	0
Lafourche Crossing	2210	323	3
Bayou Country Club	1212	324	5
Choctaw	100	325	8
Kraemer	1176	326	5
Raceland	10209	327	1
Des Allemands	1587	328	4
Cut Off	100	329	8
Chackbay	5795	330	2
Belmont	690	331	6
Fort Jesup	428	332	7
Taft	211	333	7
St. Rose	8871	334	1
Boothville	840	335	5
Paradis	847	336	5
Norco	3093	337	3
New Sarpy	1534	338	4
Midway	1514	339	4
Montz	1962	340	4
Luling	12333	341	1
Destrehan	11297	342	1
Boutte	2489	343	3
Bayou Gauche	3087	344	3
Ama	1204	345	5
Pointe a la	100	346	9
Triumph	93	347	9
Venice	100	348	9
Banks Springs	1248	349	5
Port Sulphur	1938	350	4
River Ridge	13335	351	1
Empire	905	352	5
Buras	832	353	5
Belle Chasse	13365	354	1
Prospect	743	355	6
Fort Polk South	9652	356	1
Rock Hill	100	357	9
Wallace Ridge	315	358	7
Red Chute	6099	359	2
Eastwood	4146	360	2
Lacombe	7851	361	1
Eden Isle	7385	362	2
Pitkin	100	363	9
Siracusaville	457	364	6
Fort Polk North	2716	365	3
Charenton	1750	366	4
Bayou Vista	5020	367	2
Supreme	818	368	6
Amelia	2286	369	3
Edgard	2160	370	4
Pleasure Bend	281	371	7
St. Maurice	358	372	7
Wallace	885	373	5
Joyce	185	374	7
Jordan Hill	112	375	8
Roanoke	509	376	6
Reserve	9837	377	1
Labadieville	2018	378	4
Laplace	28163	379	0
Garyville	2192	380	3
Belle Rose	100	381	8
Egan	100	382	8
Lacassine	418	383	7
Branch	217	384	7
Bayou L'Ourse	1533	385	4
Pierre Part	2971	386	3
Paincourtville	1219	387	5
Fifth Ward	719	388	6
Bordelonville	957	389	5
Center Point	100	390	8
Gillis	452	391	6
Starks	632	392	6
Hayes	625	393	6
Carlyss	4993	394	2
Minorca	2039	395	4
Prien	7960	396	1
Moss Bluff	12071	397	1
Woodmere	12039	398	1
Gloster	100	399	8
Frierson	535	400	6
Brownfields	5668	401	2
Westminster	3016	402	3
Oak Hills Place	7912	403	1
Village St. George	7058	404	2
Shenandoah	19697	405	0
Monticello	5528	406	2
Lakeshore	100	407	8
Merrydale	9774	408	1
Inniswold	5984	409	2
Gardere	10657	410	1
Waggaman	9970	411	1
Old Jefferson	6925	412	2
Bawcomville	3647	413	3
Brownsville	4184	414	2
Vienna Bend	1191	415	5
Calhoun	927	416	5
Swartz	4789	417	2
Claiborne	12701	418	1
Reddell	740	419	6
Bayou Goula	100	420	8
Monterey	609	421	6
Timberlane	10623	422	1
Terrytown	25577	423	0
Spokane	100	424	9
Metairie	143630	425	0
Marrero	33167	426	0
Lafitte	100	427	8
Jefferson	11003	428	1
Harvey	21168	429	0
Estelle	17003	430	1
Elmwood	4945	431	2
Bridge City	7389	432	2
Barataria	835	433	5
Avondale	5374	434	2
St. James	895	435	5
Watson	726	436	6
Deville	1874	437	4
Ventress	1097	438	5
Start	800	439	6
Milton	3210	440	3
Ossun	2346	441	3
Chauvin	3254	442	3
Bayou Cane	20810	443	0
Presquille	1493	444	4
Bourg	2166	445	4
Schriever	7239	446	2
Montegut	1387	447	4
Gray	5172	448	2
Cameron	290	449	7
Dulac	940	450	5
Erwinville	1939	451	4
Hackberry	1265	452	4
Arabi	4305	453	2
Violet	5966	454	2
Poydras	2205	455	3
South Vacherie	3452	456	3
Meraux	6203	457	2
Union	1175	458	5
Chalmette	18019	459	1
Cade	1141	460	5
Romeville	145	461	8
Convent	564	462	6
Catahoula	1152	463	5
Cecilia	1308	464	4
Lawtell	1582	465	4
Lydia	806	466	6
Welcome	100	467	9
Natalbany	2848	468	3
North Vacherie	2424	469	3
Grand Point	2189	470	4
Hester	422	471	7
Paulina	1126	472	5
Grand Isle	1361	473	4
